Token,POS
:,ZM
Die,LB
akkumulasie,NSE
van,SVS
die,LB
resultate,NSM
van,SVS
deurlopende,ASA
assesseringsaktiwiteite,NSM
verskaf,VTHOG
'n,LO
geheelbeeld,NSE
van,SVS
'n,LO
leerder,NSE
se,UPS
vordering,NA
op,SVS
'n,LO
gegewe,ASA
tydstip,NSE
.,ZE
,
Sommerende,ASA
assessering,NA
moet,VTUOM
van,SVS
die,LB
begin,NA
van,SVS
die,LB
jaar,NSE
sorgvuldig,BS
beplan,VTHOG
word,VTUOP
ten,SVS
einde,NSE
'n,LO
verskeidenheid,NSE
assessering-strategieë,NSM
in,UPW
te,UPI
sluit,VTHOG
-,ZM
byvoorbeeld,BS
oefeninge,NSM
",",ZM
take,NSM
",",ZM
projekte,NSM
",",ZM
skool-,RWD
en,KN
klastoetse,NSM
-,ZM
wat,PB
aan,SVS
leerders,NSM
'n,LO
verskeidenheid,NSE
geleenthede,NSM
sal,VTUOM
verskaf,VTHOG
om,SVS
te,UPI
wys,VTHOG
wat,PB
hulle,PDMP
geleer,VVHOG
het,VUOT
.,ZE
,
Assesseringstrategieë,NSM
,
Die,LB
keuse,NSE
van,SVS
watter,PB
assesseringstrategieë,NSM
om,SVS
te,UPI
gebruik,VTHOG
",",ZM
is,VTHOK
subjektief,ASP
en,KN
uniek,ASP
aan,SVS
elke,PO
onderwyser,NSE
",",ZM
graad,NSE
en,KN
skool,NSE
.,ZE
,
Dit,PDOENP
hang,VTHOO
ook,BS
af,UPW
van,SVS
die,LB
onderwyser,NSE
se,UPS
professionele,ASA
oordeel,NSE
.,ZE
,
Die,LB
beskikbaarheid,NA
van,SVS
ruimte,NSE
en,KN
hulpmiddels,NSM
beïnvloed,VTHOG
hierdie,PA
besluit,NSE
",",ZM
maar,KN
selfs,BS
wanneer,PB
eenderse,ASA
hulpmiddels,NSM
beskikbaar,ASP
is,VTHOK
",",ZM
verskil,VTHOO
die,LB
manier,NSE
waarop,PB
onderwysers,NSM
keuses,NSM
maak,VTHOG
.,ZE
,
Metodes,NSM
wat,PB
vir,SVS
assesseringsaktiwiteite,NSM
gekies,VVHOG
word,VTUOP
",",ZM
moet,VTUOM
gepas,ASP
wees,VTHOK
vir,SVS
die,LB
assesseringstandaarde,NSM
wat,PB
geassesseer,VVHOG
word,VTUOP
.,ZE
,
Al,THBO
die,LB
betrokke,ASA
leerders,NSM
en,KN
onderwysers,NSM
moet,VTUOM
ook,BS
die,LB
doel,NSE
van,SVS
die,LB
assessering,NA
duidelik,BS
verstaan,VTHOG
.,ZE
,
Bevoegdheid,NA
kan,VTUOM
op,SVS
verskeie,ASA
maniere,NSM
getoon,VVHOG
word,VTUOP
.,ZE
,
'n,LO
Verskeidenheid,NSE
metodes,NSM
is,VTHOK
dus,BS
nodig,ASP
om,SVS
aan,SVS
leerders,NSM
geleentheid,NSE
te,UPI
bied,VTHOG
om,SVS
hul,PDMB
vaardighede,NSM
ten,SVS
volle,BS
te,UPI
demonstreer,VTHOG
.,ZE
,
Algemene,ASA
Assesseringstake,NSM
,
Die,LB
doel,NSE
van,SVS
Algemene,ASA
Assesseringstake,NSM
is,VTHOK
die,LB
volgende,NA
:,ZM
,
verseker,VTHOG
konsekwentheid,NSE
in,SVS
onderwyseroordele,NSM
;,ZM
,
bevorder,VTHOG
die,LB
stel,NA
van,SVS
algemene,ASA
standaarde,NSM
;,ZM
,
versterk,VTHOG
die,LB
kapasiteit,NSE
vir,SVS
skoolgebaseerde,ASA
deurlopende,ASA
assessering,NA
;,ZM
,
verhoog,VTHOG
die,LB
akkuraatheid,NA
van,SVS
die,LB
assesseringsproses,NSE
en,KN
-instrumente,RWD
;,ZM
,
verseker,VTHOG
dat,KO
skoolgebaseerde,ASA
assesseringstake,NSM
bevoegdheid,NA
en,KN
prestasie,NSE
behoorlik,BS
assesseer,VTHOG
;,ZM
,
verseker,VTHOG
uitgebreide,ASA
geleenthede,NSM
vir,SVS
leerders,NSM
.,ZE
,
Algemene,ASA
Assesseringstake,NSM
word,VTUOP
op,SVS
provinsiale,ASA
",",ZM
distriks-,RWD
of,KN
groeperingsvlak,NSE
gestel,VVHOG
.,ZE
,
Dit,PDOENP
word,VTUOP
deur,SVS
onderwysers,NSM
geassesseer,VVHOG
en,KN
ekstern,BS
gemodereer,VVHOG
.,ZE
,
DIE,LB
BESTUUR,NA
VAN,SVS
ASSESSERING,NA
,
Mense,NSM
betrokke,ASP
by,SVS
Assessering,NA
,
Die,LB
skool,NSE
en,KN
die,LB
onderwysers,NSM
het,VTHOG
die,LB
oorkoepelende,ASA
verantwoordelikheid,NSE
vir,SVS
die,LB
assessering,NA
van,SVS
leerders,NSM
.,ZE
,
Daar,UXD
word,VTUOP
van,SVS
onderwysers,NSM
verwag,VTHOG
om,SVS
'n,LO
geldige,ASA
",",ZM
betroubare,ASA
en,KN
geloofwaardige,ASA
assesseringsproses,NSE
te,UPI
skep,VTHOG
.,ZE
,
Provinsiale,ASA
beleid,NSE
behoort,VTUOM
die,LB
betrokkenheid,NA
van,SVS
leerders,NSM
",",ZM
skoolassesseringspanne,NSM
",",ZM
distrikshulpdienste,NSM
en,KN
ouers,NSM
",",ZM
soos,UPV
gepas,ASP
",",ZM
te,UPI
verseker,VTHOG
.,ZE
,
Skoolassesseringsprogram,NSE
,
Elke,PO
skool,NSE
moet,VTUOM
'n,LO
assesseringsprogram,NSE
gegrond,VVHOG
op,SVS
provinsiale,ASA
en,KN
nasionale,ASA
riglyne,NSM
ontwikkel,VTHOG
.,ZE
,
Skole,NSM
moet,VTUOM
'n,LO
skoolassesseringsplan,NSE
en,KN
'n,LO
span,NSE
hê,VTHOG
om,SVS
die,LB
implementering,NA
van,SVS
hierdie,PA
program,NSE
te,UPI
fasiliteer,VTHOG
.,ZE
,
Die,LB
span,NSE
behoort,VTUOM
verteenwoordigers,NSM
van,SVS
elke,PO
fase,NSE
en,KN
leerarea,NSE
daarin,PB
te,UPI
hê,VTHOG
.,ZE
,
Om,SVS
'n,LO
professionele,ASA
benadering,NSE
tot,SVS
leerderassessering,NA
te,UPI
verseker,VTHOG
",",ZM
moet,VTUOM
die,LB
skool,NSE
se,UPS
assesseringsprogram,NSE
die,LB
volgende,NA
duidelik,BS
uiteensit,VTHSG
:,ZM
,
die,LB
manier,NSE
waarop,PB
deurlopende,ASA
assessering,NA
beplan,VTHOG
en,KN
geïmplementeer,VVHOG
word,VTUOP
;,ZM
,
hoe,PB
rekordboeke,NSM
/,RS
verslagboeke,NSM
gehou,VVHOG
moet,VTUOM
word,VTUOP
en,KN
die,LB
toeganklikheid,NSE
en,KN
sekuriteit,NA
daarvan,PB
;,ZM
,
die,LB
assesseringskodes,NSM
wat,PB
deur,SVS
die,LB
provinsie,NSE
bepaal,VTHOG
is,VVUOP
;,ZM
,
interne,ASA
verifikasie,NSE
van,SVS
assessering,NA
;,ZM
,
hoe,PB
moderering,NSE
in,SVS
die,LB
skool,NSE
plaasvind,VTHSO
;,ZM
,
hoe,PB
dikwels,BS
rapportering,NA
plaasvind,VTHSO
en,KN
die,LB
metode,NSE
daarvan,PB
;,ZM
,
die,LB
monitor,NA
van,SVS
alle,THAO
assesseringsprosesse,NSM
;,ZM
,
die,LB
opleiding,NA
van,SVS
personeel,NM
ten,SVS
opsigte,NSM
van,SVS
assessering,NA
.,ZE
,
Gebiede,NSM
waar,PB
inskoolopleiding,NA
moet,VTUOM
plaasvind,VTHSO
",",ZM
sluit,VTHOG
in,UPW
:,ZM
,
hoe,PB
om,SVS
kriteria,NSM
vir,SVS
assessering,NA
en,KN
assesseringstabelle,NSM
te,UPI
gebruik,VTHOG
;,ZM
,
hoe,PB
onderwysers,NSM
in,SVS
dieselfde,ASA
graad,NSE
op,SVS
die,LB
vereistes,NSM
vir,SVS
die,LB
bereiking,NA
van,SVS
assesseringstandaarde,NSM
en,KN
leeruitkomste,NSM
kan,VTUOM
besluit,VTHOG
;,ZM
,
hoe,PB
om,SVS
kommentaar,NSE
vir,SVS
assesseringsuitslae,NSM
en,KN
rapporte,NSM
te,UPI
skryf,VTHOG
;,ZM
,
hoe,PB
om,SVS
'n,LO
algemene,ASA
begrip,NSE
van,SVS
die,LB
skool,NSE
se,UPS
assesseringsprogram,NSE
te,UPI
verseker,VTHOG
.,ZE
,
VERSLAGHOUDING,NA
,
Verslagboeke,NSM
,
Goeie,ASA
verslag-,RWD
of,KN
rekordhouding,NA
is,VTHOK
noodsaaklik,ASP
in,SVS
alle,THAO
assessering,NA
",",ZM
veral,BS
in,SVS
deurlopende,ASA
assessering,NA
.,ZE
,
'n,LO
Verslagboek,NSE
of,KN
-lêer,RWD
moet,VTUOM
deur,SVS
elke,PO
onderwyser,NSE
gehou,VVHOG
word,VTUOP
.,ZE
,
Dit,PDOENP
moet,VTUOM
die,LB
volgende,NA
bevat,VTHOG
:,ZM
,
name,NSM
van,SVS
leerders,NSM
;,ZM
,
datums,NSM
van,SVS
assessering,NA
;,ZM
,
naam,NSE
en,KN
beskrywing,NSE
van,SVS
assesseringsaktiwiteite,NSM
;,ZM
,
die,LB
uitslae,NSM
van,SVS
assesseringsaktiwiteite,NSM
",",ZM
volgens,SVS
leerareas,NSM
of,KN
leerprogramme,NSM
;,ZM
,
kommentaar,NSE
vir,SVS
steundoeleindes,NSM
.,ZE
,
Alle,THAO
rekords,NSM
moet,VTUOM
toeganklik,ASP
wees,VTHOK
",",ZM
maklik,ASP
wees,VTHOK
om,SVS
te,UPI
interpreteer,VTHOO
",",ZM
veilig,BS
bewaar,VTHOG
word,VTUOP
",",ZM
vertroulik,ASP
wees,VTHOK
en,KN
nuttig,ASP
in,SVS
die,LB
onderrig-,RWD
en,KN
rapporteringsproses,NSE
wees,VTHOK
.,ZE
,
Die,LB
skoolassesseringsprogram,NSE
bepaal,VTHOG
die,LB
besonderhede,NSM
van,SVS
hoe,PB
verslagboeke,NSM
ingevul,VVHOG
moet,VTUOM
word,VTUOP
.,ZE
,
Die,LB
assesseringskodes,NSM
word,VTUOP
gebruik,VTHOG
om,SVS
aan,UPW
te,UPI
dui,VTHOG
hoe,PB
die,LB
leerder,NSE
in,SVS
terme,NSM
van,SVS
die,LB
leeruitkomste,NSM
presteer,VTHOO
.,ZE
,
Die,LB
kodes,NSM
wat,PB
gebruik,VTHOG
word,VTUOP
",",ZM
moet,VTUOM
duidelik,ASP
en,KN
verstaanbaar,ASP
vir,SVS
leerders,NSM
en,KN
ouers,NSM
wees,VTHOK
.,ZE
,
Kodes,NSM
vir,SVS
Gebruik,NA
vir,SVS
Assessering,NA
,
Daar,UXD
bestaan,VTHOG
talle,THAO
maniere,NSM
waarop,PB
terugvoering,NA
oor,SVS
assessering,NA
aan,SVS
leerders,NSM
gegee,VVHOG
kan,VTUOM
word,VTUOP
en,KN
deur,SVS
onderwysers,NSM
opgeteken,VVHOG
kan,VTUOM
word,VTUOP
.,ZE
,
Die,LB
keuse,NSE
van,SVS
die,LB
beste,AOA
manier,NSE
van,SVS
terugvoering,NA
vir,SVS
'n,LO
assesseringsaktiwiteit,NSE
sal,VTUOM
van,SVS
verskeie,ASA
faktore,NSM
afhang,VTHSO
",",ZM
soos,UPV
:,ZM
,
die,LB
aantal,NSE
leerders,NSM
in,SVS
die,LB
klas,NSE
en,KN
die,LB
tyd,NM
wat,PB
die,LB
onderwyser,NSE
beskikbaar,BS
het,VTHOG
;,ZM
,
die,LB
kompleksiteit,NSE
en,KN
lengte,NSE
van,SVS
die,LB
assesseringsaktiwiteit,NSE
;,ZM
,
die,LB
leerinhoud,NSE
of,KN
vaardighede,NSM
wat,PB
geassesseer,VVHOG
word,VTUOP
;,ZM
,
hoe,PB
gou,BS
terugvoering,NA
gegee,VVHOG
word,VTUOP
;,ZM
,
hoe,PB
geïndividualiseer,VVHOG
die,LB
terugvoering,NA
is,VVUOP
;,ZM
,
die,LB
kriteria,NSM
(,ZPL
of,KN
assesseringstabel,NSE
),ZPR
wat,PB
die,LB
onderwyser,NSE
gebruik,VTHOG
om,SVS
leerderprestasie,NSE
te,UPI
beskryf,VTHOG
;,ZM
,
of,KN
leerders,NSM
se,UPS
prestasie,NSE
met,SVS
klasmaats,NSM
se,UPS
prestasie,NSE
of,KN
vorige,ASA
prestasie,NSE
vergelyk,VTHOG
gaan,VTUOM
word,VTUOP
",",ZM
en,KN
/,RS
of,KN
die,LB
vereistes,NSM
van,SVS
die,LB
assesseringstandaarde,NSM
en,KN
leeruitkomste,NSM
.,ZE
,
Sommige,THAO
assesseringskodes,NSM
is,VTHOK
meer,THBO
gepas,ASP
vir,SVS
sekere,ASA
doeleindes,NSM
as,KO
ander,PO
.,ZE
,
Skriftelike,ASA
kommentaar,NSE
kan,VTUOM
byvoorbeeld,BS
besonderhede,NSM
verskaf,VTHOG
",",ZM
persoonlik,ASP
wees,VTHOK
en,KN
voorstelle,NSM
vir,SVS
verbetering,NSE
verskaf,VTHOG
.,ZE
,
Dit,PDOENP
is,VTHOK
ook,BS
nuttig,ASP
vir,SVS
rapportering,NA
oor,SVS
leerderprestasie,NSE
ten,SVS
opsigte,NSM
van,SVS
assesseringstandaarde,NSM
.,ZE
,
Dit,PDOENP
neem,VTHOO
egter,BS
lank,BS
om,SVS
kommentaar,NSE
te,UPI
skryf,VTHOG
en,KN
is,VTHOK
nie,BS
baie,THBO
maklik,ASP
om,SVS
op,UPW
te,UPI
teken,VTHOG
nie,UPO
.,ZE
,
Kodes,NSM
soos,UPV
"""",ZPL
Uitstekend,ASP
"""",ZPR
",",ZM
"""",ZPL
Baie,THBO
goed,ASP
"""",ZPR
",",ZM
"""",ZPL
Goed,ASP
"""",ZPR
",",ZM
"""",ZPL
Bevoeg,ASP
"""",ZPR
en,KN
"""",ZPL
Onvoldoende,ASP
"""",ZPR
is,VTHOK
veel,BS
vinniger,AVP
om,SVS
te,UPI
skryf,VTHOG
en,KN
maak,VTHOG
dit,PDOENP
moontlik,BS
om,SVS
prestasie,NSE
met,SVS
vorige,ASA
werk,NA
te,UPI
vergelyk,VTHOG
en,KN
volgens,SVS
assesseringstandaarde,NSM
te,UPI
assesseer,VTHOG
.,ZE
,
Hierdie,PA
kodes,NSM
verskaf,VTHOG
egter,BS
nie,BS
die,LB
besonderhede,NSM
wat,PB
skriftelike,ASA
kommentaar,NSE
moontlik,BS
maak,VTHOO
nie,UPO
.,ZE
,
Punte,NSM
kan,VTUOM
weer,BS
vinnig,BS
opgeteken,VVHOG
word,VTUOP
en,KN
opgetel,VVHOG
",",ZM
vermenigvuldig,VTHOG
en,KN
gedeel,VVHOG
word,VTUOP
.,ZE
,
Dit,PDOENP
is,VTHOK
nuttig,ASP
wanneer,PB
leerders,NSM
se,UPS
prestasie,NSE
in,SVS
verhouding,NSE
tot,SVS
ander,PO
in,SVS
die,LB
klas,NSE
en,KN
tot,SVS
ander,ASA
grade,NSM
of,KN
skole,NSM
geassesseer,VVHOG
word,VTUOP
.,ZE
,
Punte,NSM
verskaf,VTHOG
egter,BS
min,THAO
inligting,NM
oor,SVS
leerders,NSM
se,UPS
prestasie,NSE
in,SVS
terme,NSM
van,SVS
die,LB
assesseringstandaarde,NSM
.,ZE
,
'n,LO
Paar,THAO
voorbeelde,NSM
van,SVS
ander,ASA
assesseringskodes,NSM
is,VTHOK
:,ZM
,
nog,BS
nie,BS
bereik,VTHOO
nie,UPO
;,ZM
deels,BS
bereik,VTHOO
;,ZM
bereik,VTHOO
;,ZM
,
uitstekende,ASA
standaard,NSE
;,ZM
bevredigende,ASA
prestasie,NSE
;,ZM
benodig,VTHOG
ondersteuning,NA
;,ZM
,
A,RS
",",ZM
B,RS
",",ZM
C,RS
;,ZM
,
frases,NSM
(,ZPL
of,KN
assesseringstabelle,NSM
),ZPR
wat,PB
spesifiek,BS
vir,SVS
die,LB
assesseringsaktiwiteit,NSE
of,KN
rapport,NSE
ontwerp,VTHOG
is,VVUOP
.,ZE
,
Dit,PDOENP
maak,VTHOG
nie,BS
saak,NSE
watter,PB
assesseringskodes,NSM
gebruik,VTHOG
word,VTUOP
nie,UPO
",",ZM
terugvoering,NA
is,VTHOK
altyd,BS
doeltreffender,AVP
wanneer,PB
dit,PDOENP
met,SVS
skriftelike,ASA
kommentaar,NSE
gekombineer,VVHOG
word,VTUOP
.,ZE
,
Wanneer,PB
leerders,NSM
skriftelike,ASA
terugvoering,NA
eerder,BS
as,KO
net,BS
'n,LO
punt,NSE
ontvang,VTHOG
",",ZM
is,VTHOK
daar,UXD
'n,LO
groter,AVA
kans,NSE
op,SVS
verbetering,NSE
in,SVS
hul,PDMB
prestasie,NSE
.,ZE
,
Alhoewel,KO
punte,NSM
en,KN
persentasies,NSM
baie,THBO
nuttig,ASP
vir,SVS
verslaghouding,NA
is,VTHOK
omdat,KO
dit,PDOENP
maklik,ASP
is,VTHOK
om,SVS
op,UPW
te,UPI
teken,VTHOG
",",ZM
is,VTHOK
dit,PDOENP
dikwels,BS
nie,BS
nuttig,ASP
vir,SVS
terugvoering,NA
of,KN
rapportering,NA
nie,UPO
.,ZE
,
Ander,ASA
probleme,NSM
wat,PB
deur,SVS
punte,NSM
geskep,VVHOG
word,VTUOP
",",ZM
is,VTHOK
dat,KO
dit,PDOENP
saamgevoeg,VVHOG
en,KN
gemanipuleer,VVHOG
kan,VTUOM
word,VTUOP
en,KN
dat,KO
dit,PDOENP
veel,THPO
in,SVS
verband,NSE
met,SVS
'n,LO
leerder,NSE
se,UPS
prestasie,NSE
en,KN
vordering,NA
verbloem,VTHOG
.,ZE
,
Indien,KO
leerders,NSM
meer,THBO
as,KO
een,THAB
assesseringsaktiwiteit,NSE
gedoen,VVHOG
het,VUOT
",",ZM
bestaan,VTHOG
die,LB
versoeking,NSE
om,SVS
die,LB
punte,NSM
op,UPW
te,UPI
tel,VTHOG
en,KN
die,LB
gemiddeld,NSE
uit,UPW
te,UPI
werk,VTHOG
.,ZE
,
Wanneer,PB
dit,PDOENP
gedoen,VVHOG
word,VTUOP
",",ZM
verloor,VTHOG
punte,NSM
hul,PDMB
nut,NA
om,SVS
spesifieke,ASA
inligting,NM
oor,UPW
te,UPI
dra,VTHOG
.,ZE
,
'n,LO
Gemiddelde,ASA
of,KN
saamgevoegde,ASA
punt,NSE
verbloem,VTHOG
die,LB
feit,NSE
dat,KO
'n,LO
leerder,NSE
in,SVS
een,THAB
opsig,NSE
goed,BS
aan,SVS
die,LB
verlangde,ASA
vereiste,NSE
voldoen,VTHOV
het,VUOT
",",ZM
maar,KN
nie,BS
in,SVS
'n,LO
ander,PO
nie,UPO
.,ZE
,
Punte,NSM
gee,VTHOG
'n,LO
geheelindruk,NSE
van,SVS
prestasie,NSE
",",ZM
maar,KN
gee,VTHOG
nie,BS
aan,SVS
die,LB
leerder,NSE
die,LB
redes,NSM
vir,SVS
die,LB
assessering,NA
van,SVS
die,LB
prestasie,NSE
(,ZPL
of,KN
gebrek,NSE
aan,SVS
prestasie,NSE
),ZPR
nie,UPO
.,ZE
,
Dit,PDOENP
gee,VTHOG
ook,BS
nie,BS
spesifieke,ASA
riglyne,NSM
vir,SVS
verbetering,NSE
nie,UPO
.,ZE
,
Punte,NSM
beskryf,VTHOG
verder,BV
ook,BS
nie,BS
leerdervordering,NA
oor,SVS
tyd,NM
heen,BS
voldoende,BS
nie,UPO
.,ZE
,
Dikwels,BS
word,VTUOP
dit,PDOENP
as,KO
goeie,ASA
vordering,NA
beskou,VTHOG
wanneer,PB
'n,LO
leerder,NSE
dieselfde,ASA
punt,NSE
as,KO
vroeër,BV
behaal,VTHOG
(,ZPL
mits,KO
dit,PDOENP
'n,LO
bevredigende,ASA
punt,NSE
is,VTHOK
),ZPR
.,ZE
,
'n,LO
Punt,NSE
van,SVS
70,RS
vir,SVS
'n,LO
graad,NSE
5-assesseringstandaard,NSE
en,KN
'n,LO
punt,NSE
van,SVS
70,RS
vir,SVS
'n,LO
graad,NSE
6-assesseringstandaard,NSE
verbloem,VTHOG
hoe,PB
die,LB
leerder,NSE
tydens,SVS
die,LB
jaar,NSE
gevorder,VVHOG
het,VUOT
.,ZE
,
Sodanige,ASA
vordering,NA
kan,VTUOM
beter,BV
deur,SVS
middel,NSE
van,SVS
'n,LO
stelling,NSE
",",ZM
kode,NSE
of,KN
skriftelike,ASA
kommentaar,NSE
beskryf,VTHOG
word,VTUOP
.,ZE
,
Nasionale,ASA
Kodes,NSM
,
In,SVS
die,LB
verslaghouding,NA
van,SVS
of,KN
rapportering,NA
oor,SVS
leerderprestasie,NSE
in,SVS
die,LB
leeruitkomste,NSM
van,SVS
'n,LO
bepaalde,ASA
graad,NSE
moet,VTUOM
die,LB
volgende,ASA
kodes,NSM
gebruik,VTHOG
word,VTUOP
:,ZM
,
4,RS
=,RS
Leerder,NSE
se,UPS
prestasie,NSE
het,VUOT
die,LB
vereistes,NSM
vir,SVS
die,LB
leeruitkoms,NSE
vir,SVS
die,LB
graad,NSE
ver,BS
oortref,VTHOG
.,ZE
,
3,RS
=,RS
Leerder,NSE
se,UPS
prestasie,NSE
het,VUOT
aan,SVS
die,LB
vereistes,NSM
vir,SVS
die,LB
leeruitkoms,NSE
vir,SVS
die,LB
graad,NSE
voldoen,VTHOV
.,ZE
,
2,RS
=,RS
Leerder,NSE
se,UPS
prestasie,NSE
het,VUOT
gedeeltelik,BS
aan,SVS
die,LB
vereistes,NSM
vir,SVS
die,LB
leeruitkoms,NSE
vir,SVS
die,LB
graad,NSE
voldoen,VTHOV
.,ZE
,
1,RS
=,NSM
Leerder,NSE
se,UPS
prestasie,NSE
het,VUOT
nie,BS
aan,SVS
die,LB
vereistes,NSM
vir,SVS
die,LB
leeruitkoms,NSE
vir,SVS
die,LB
graad,NSE
voldoen,VTHOV
nie,UPO
.,ZE
,
Vorderingskedules,NSM
,
Aan,SVS
die,LB
einde,NSE
van,SVS
elke,PO
jaar,NSE
moet,VTUOM
'n,LO
vorderingskedule,NSE
voltooi,VTHOG
word,VTUOP
en,KN
deur,SVS
die,LB
skoolhoof,NSE
en,KN
'n,LO
departementele,ASA
amptenaar,NSE
onderteken,VTHOG
word,VTUOP
.,ZE
,
Die,LB
vorderingskedule,NSE
is,VTHOK
'n,LO
verslag,NSE
/,RS
rekord,NSE
met,SVS
'n,LO
opsomming,NSE
van,SVS
inligting,NM
rakende,SVS
die,LB
vordering,NA
van,SVS
al,THAO
die,LB
leerders,NSM
in,SVS
die,LB
graad,NSE
in,SVS
die,LB
skool,NSE
.,ZE
,
Die,LB
vorderingskedule,NSE
behoort,VTUOM
die,LB
volgende,ASA
inligting,NM
te,UPI
bevat,VTHOG
:,ZM
,
naam,NSE
van,SVS
die,LB
skool,NSE
en,KN
die,LB
skoolstempel,NSE
;,ZM
,
'n,LO
lys,NSE
van,SVS
die,LB
leerders,NSM
in,SVS
elke,PO
graad,NSE
;,ZM
,
kodes,NSM
vir,SVS
vordering,NA
in,SVS
elke,PO
leerarea,NSE
(,ZPL
nasionale,ASA
koderingstelsel,NSE
),ZPR
;,ZM
,
kodes,NSM
vir,SVS
vordering,NA
in,SVS
elke,PO
graad,NSE
(,ZPL
vordering,NA
na,SVS
die,LB
volgende,ASA
graad,NSE
of,KN
bly,VTHOO
in,SVS
dieselfde,ASA
graad,NSE
),ZPR
;,ZM
,
kommentaar,NSE
op,SVS
sterk,ASA
punte,NSM
en,KN
areas,NSM
wat,PB
ondersteuning,NA
in,SVS
elke,PO
leerarea,NSE
benodig,VTHOG
;,ZM
,
datum,NSE
en,KN
handtekening,NSE
van,SVS
die,LB
skoolhoof,NSE
",",ZM
onderwyser,NSE
of,KN
ander,ASA
opvoeder,NSE
",",ZM
en,KN
departementele,ASA
amptenaar,NSE
.,ZE
,
Leerderprofiele,NSM
,
'n,LO
Leerderprofiel,NSE
is,VTHOK
'n,LO
deurlopende,ASA
verslag,NSE
wat,PB
'n,LO
volledige,ASA
beeld,NSE
van,SVS
'n,LO
leerder,NSE
se,UPS
prestasie,NSE
verskaf,VTHOG
",",ZM
insluitend,SVS
die,LB
holistiese,ASA
ontwikkeling,NA
van,SVS
waardes,NSM
",",ZM
houdings,NSM
en,KN
sosiale,ASA
ontwikkeling,NA
.,ZE
,
Dit,PDOENP
help,VTHOG
die,LB
onderwyser,NSE
in,SVS
die,LB
volgende,ASA
graad,NSE
of,KN
skool,NSE
om,SVS
die,LB
leerder,NSE
beter,BV
te,UPI
verstaan,VTHOG
en,KN
dus,BS
gepas,BS
op,SVS
haar,PDVEDP
of,KN
hom,PDHEDP
te,UPI
reageer,VTHOO
.,ZE
,
Elke,PO
leerder,NSE
se,UPS
leerderprofiel,NSE
moet,VTUOM
veilig,BS
bewaar,VTHOG
word,VTUOP
en,KN
moet,VTUOM
leerders,NSM
deur,SVS
hul,PDMB
skoolloopbaan,NSE
vergesel,VTHOG
.,ZE
,
Die,LB
volgende,ASA
soort,NSE
inligting,NM
behoort,VTUOM
in,SVS
'n,LO
leerderprofiel,NSE
te,UPI
verskyn,VTHOO
:,ZM
,
persoonlike,ASA
inligting,NM
;,ZM
,
fisieke,ASA
toestand,NSE
en,KN
mediese,ASA
geskiedenis,NA
;,ZM
,
skole,NSM
bygewoon,VVHOG
en,KN
'n,LO
rekord,NSE
van,SVS
bywoning,NA
;,ZM
,
deelname,NA
aan,SVS
en,KN
prestasie,NSE
in,SVS
buitemuurse,ASA
aktiwiteite,NSM
;,ZM
,
emosionele,ASA
en,KN
sosiale,ASA
gedrag,NM
;,ZM
,
ouerbetrokkenheid,NA
;,ZM
,
areas,NSM
wat,PB
ondersteuning,NA
benodig,VTHOG
;,ZM
,
opsomming,NSE
van,SVS
oorkoepelende,ASA
rapport,NSE
aan,SVS
die,LB
einde,NSE
van,SVS
die,LB
jaar,NSE
;,ZM
,
opsommende,ASA
verslae,NSM
/,RS
rekords,NSM
van,SVS
skooljare,NSM
.,ZE
,
Let,VTHOO
Wel,BS
:,ZM
,
Die,LB
leerderprofiel,NSE
vervang,VTHOG
alle,THBO
vorige,ASA
deurlopende,ASA
verslagdokumente,NSM
wat,PB
in,SVS
skole,NSM
gebruik,VTHOG
is,VVUOP
",",ZM
soos,UPV
verslagkaarte,NSM
en,KN
Olab-kaarte,NSM
.,ZE
,
Die,LB
sentrale,ASA
doel,NSE
van,SVS
'n,LO
leerderprofiel,NSE
is,VTHOK
om,SVS
'n,LO
leerder,NSE
by,UPW
te,UPI
staan,VTHOG
deur,SVS
toegang,NA
tot,SVS
die,LB
verskeidenheid,NSE
inligting,NM
daarin,PB
te,UPI
verskaf,VTHOG
.,ZE
,
Persoonlike,ASA
inligting,NM
in,SVS
'n,LO
leerderprofiel,NSE
behoort,VTUOM
nooit,BS
vir,SVS
onregverdige,ASA
of,KN
diskriminerende,ASA
optrede,NSE
teen,SVS
'n,LO
leerder,NSE
gebruik,VTHOG
te,UPI
word,VTUOP
nie,UPO
.,ZE
,
Leerderprofiele,NSM
moenie,VTUOM
met,SVS
portefeuljes,NSM
verwar,VTHOG
word,VTUOP
nie,UPO
.,ZE
,
'n,LO
Portefeulje,NSE
is,VTHOK
'n,LO
assesseringsmetode,NSE
wat,PB
die,LB
leerder,NSE
en,KN
onderwyser,NSE
saam,BS
geleentheid,NSE
bied,VTHOG
om,SVS
werk,NA
wat,PB
vir,SVS
etlike,THAO
assesseringsaktiwiteite,NSM
gedoen,VVHOG
is,VVUOP
",",ZM
in,SVS
ag,NA
te,UPI
neem,VTHOG
.,ZE
,
Die,LB
werk,NA
word,VTUOP
in,SVS
'n,LO
lêer,NSE
of,KN
houer,NSE
geplaas,VVHOG
.,ZE
,
Die,LB
leerderprofiel,NSE
",",ZM
daarenteen,BS
",",ZM
is,VTHOK
'n,LO
rekord,NSE
wat,PB
inligting,NM
oor,SVS
'n,LO
leerder,NSE
bevat,VTHOG
